iter	Passed	Remaining
423	1450	1970
424	1451	1963
425	1452	1957
426	1453	1950
427	1459	1949
428	1461	1945
429	1462	1938
430	1463	1932
431	1465	1926
432	1466	1920
433	1467	1913
434	1468	1907
435	1469	1901
436	1472	1897
437	1474	1891
438	1475	1885
439	1476	1879
440	1477	1873
441	1479	1867
442	1480	1861
443	1481	1855
444	1483	1849
445	1484	1844
446	1486	1839
447	1489	1834
448	1490	1828
449	1491	1823
450	1493	1817
451	1494	1811
452	1495	1805
453	1496	1800
454	1503	1801
455	1505	1795
456	1506	1789
457	1507	1783
458	1508	1777
459	1509	1772
460	1510	1766
461	1511	1760
462	1515	1757
463	1517	1752
464	1518	1747
465	1520	1742
466	1521	1736
467	1523	1731
468	1524	1726
469	1526	1721
470	1527	1715
471	1533	1715
472	1535	1711
473	1537	1705
474	1538	1700
475	1540	1695
476	1541	1690
477	1546	1689
478	1550	1686
479	1552	1682
480	1554	1676
481	1555	1671
482	1557	1666
483	1565	1669
484	1567	1664
485	1568	1658
486	1569	1653
487	1571	1649
488	1573	1644
489	1578	1643
490	1600	1658
491	1601	1653
492	1602	1648
493	1604	1643
494	1608	1640
495	1610	1636
496	1611	1631
497	1613	1626
498	1615	1621
499	1616	1616
500	1618	1611
501	1642	1629
502	1643	1624
503	1645	1619
504	1646	1614
505	1648	1609
506	1649	1603
507	1650	1598
508	1652	1593
509	1653	1588
510	1655	1584
511	1656	1579
512	1658	1574
513	1659	1569
514	1661	1564
515	1662	1559
516	1664	1554
517	1665	1550
518	1670	1548
519	1671	1543
520	1673	1538
521	1675	1534
522	1677	1529
523	1678	1524
524	1680	1520
525	1681	1515
526	1685	1512
527	1687	1508
528	1688	1503
529	1689	1498
530	1691	1493
531	1692	1488
532	1693	1484
533	1695	1479
534	1696	1474
535	1700	1471
536	1701	1467
537	1703	1462
538	1704	1458
539	1706	1453
540	1707	1448
541	1709	1444
542	1710	1439
543	1711	1434
544	1715	1432
545	1717	1427
546	1718	1423
547	1720	1418
548	1721	1414
549	1722	1409
550	1723	1404
551	1724	1399
552	1726	1395
553	1727	1390
554	1729	1387
555	1731	1382
556	1732	1378
557	1733	1373
558	1735	1368
559	1736	1364
560	1737	1359
561	1739	1355
562	1740	1350
563	1741	1346
564	1742	1341
565	1746	1339
566	1747	1334
567	1748	1329
568	1749	1325
569	1751	1320
570	1752	1316
571	1753	1312
572	1754	1307
573	1755	1303
574	1757	1298
575	1761	1296
576	1762	1292
577	1763	1287
578	1764	1283
579	1765	1278
580	1767	1274
581	1768	1269
582	1769	1265
583	1770	1261
584	1771	1256
585	1773	1252
586	1774	1248
587	1776	1244
588	1777	1240
589	1778	1236
590	1780	1232
591	1781	1228
592	1783	1223
593	1784	1219
594	1786	1215
595	1787	1211
596	1789	1207
597	1790	1203
598	1792	1199
599	1793	1195
600	1794	1191
601	1795	1187
602	1796	1182
603	1797	1178
604	1798	1174
605	1803	1172
606	1804	1168
607	1806	1164
608	1807	1160
609	1808	1156
610	1809	1152
611	1811	1148
612	1812	1144
613	1813	1140
614	1817	1137
615	1818	1133
616	1819	1129
617	1821	1125
618	1822	1121
619	1823	1117
620	1824	1113
621	1825	1109
622	1826	1105
623	1827	1101
624	1829	1097
625	1833	1095
626	1835	1092
627	1837	1088
628	1838	1084
629	1839	1080
630	1841	1076
631	1842	1073
632	1844	1069
633	1848	1067
634	1850	1063
635	1851	1059
636	1853	1056
637	1854	1052
638	1855	1048
639	1857	1044
640	1859	1041
641	1863	1039
642	1865	1035
643	1866	1031
644	1868	1028
645	1869	1024
646	1870	1020
647	1872	1017
648	1873	1013
649	1875	1009
650	1879	1007
651	1881	1004
652	1882	1000
653	1884	996
654	1885	993
655	1887	989
656	1888	986
657	1890	982
658	1894	980
659	1896	976
660	1901	975
661	1903	971
662	1904	968
663	1906	964
664	1910	962
665	1911	958
666	1913	955
667	1914	951
668	1916	948
669	1917	944
670	1919	940
671	1920	937
672	1922	934
673	1926	931
674	1927	928
675	1929	924
676	1931	921
677	1932	917
678	1933	914
679	1934	910
680	1935	906
681	1937	903
682	1941	900
683	1942	897
684	1943	893
685	1944	890
686	1945	886
687	1947	883
688	1948	879
689	1949	875
690	1950	872
691	1951	868
692	1953	865
693	1954	861
694	1956	858
695	1957	854
696	1958	851
697	1959	847
698	1960	844
699	1962	840
700	1963	837
701	1964	834
702	1965	830
703	1968	827
704	1970	824
705	1971	820
706	1972	817
707	1973	813
708	1974	810
709	1975	807
710	1977	803
711	1978	800
712	1979	796
713	1980	793
714	1984	791
715	1986	787
716	1988	784
717	1989	781
